Video Name,Judges,Primary Factors,,,,Control Factors,,,Assesment Score,,,
E01_P01_AL_VLL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,77.14285714,77.14
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
E01_P01_AR_VLL_GM,Dr Mamun Mahmud,1,1,0,0.8,0.5,1,1,5.3,75.71428571,75.71428571,75.71
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
E01_P01_AF_VML_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,100,100
,Dr Abid Hasan Khan,1,1,1,1,1,1,1,7,100,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P01_AL_VML_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,100,100
,Dr Abid Hasan Khan,1,1,1,1,1,1,1,7,100,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P01_AR_VML_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P01_AF_VO_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,0.5,1,4.9,70,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
E01_P01_AL_VO_GM,Dr Mamun Mahmud,1,1,0,0.8,0.5,0.5,1,4.8,68.57142857,73.33333333,73.33
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
E01_P01_AR_VO_GM,Dr Mamun Mahmud,1,1,0,0.8,0.5,0.5,1,4.8,68.57142857,73.33333333,73.33
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
E01_P02_AF_VFL_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,92.85714286,92.86
,Dr Abid Hasan Khan,1,1,1,1,0.5,1,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P02_AL_VFL_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,92.85714286,92.86
,Dr Abid Hasan Khan,1,1,1,1,0.5,1,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P02_AR_VFL_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,92.85714286,92.86
,Dr Abid Hasan Khan,1,1,1,1,0.5,1,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P02_AF_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,97.61904762,97.62
,Dr Abid Hasan Khan,1,1,1,1,1,1,1,7,100,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P02_AL_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,81.9047619,81.9
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P02_AR_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,81.9047619,81.9
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P02_AF_VLJ_GM,Dr Mamun Mahmud,1,1,1,1,0,1,1,6,85.71428571,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,1,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,0.5,1,1,6.5,92.85714286,,
E01_P02_AL_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0,1,1,4.9,70,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
E01_P02_AR_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0,1,1,4.9,70,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
E01_P02_AF_VLL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,79.52380952,79.52
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P02_AL_VLL_GM,Dr Mamun Mahmud,1,1,0,0.8,0.5,1,1,5.3,75.71428571,78.0952381,78.1
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P02_AR_VLL_GM,Dr Mamun Mahmud,1,1,0,0.7,0.5,1,1,5.2,74.28571429,76.66666667,76.67
,Dr Abid Hasan Khan,1,1,0,0.7,0.5,1,1,5.2,74.28571429,,
,Dr Rayhan Islam,1,1,0,0.7,1,1,1,5.7,81.42857143,,
E01_P02_AF_VML_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,95.23809524,95.24
,Dr Abid Hasan Khan,1,0.5,1,1,1,1,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,0.5,1,1,1,1,1,6.5,92.85714286,,
E01_P02_AL_VML_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,79.52380952,79.52
,Dr Abid Hasan Khan,1,0.5,0,0.9,1,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,0.5,0,0.9,1,1,1,5.4,77.14285714,,
E01_P02_AR_VML_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,95.23809524,95.24
,Dr Abid Hasan Khan,1,0.5,1,1,1,1,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,0.5,1,1,1,1,1,6.5,92.85714286,,
E01_P02_AF_VO_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,0.5,4.9,70,,
,Dr Rayhan Islam,1,1,0,0.9,1,0.5,1,5.4,77.14285714,,
E01_P02_AL_VO_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,0.5,4.9,70,,
,Dr Rayhan Islam,1,1,0,0.9,1,0.5,1,5.4,77.14285714,,
E01_P02_AR_VO_GM,Dr Mamun Mahmud,1,1,0,0.8,0.5,1,1,5.3,75.71428571,73.33333333,73.33
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,0.5,4.8,68.57142857,,
,Dr Rayhan Islam,1,1,0,0.8,1,0.5,1,5.3,75.71428571,,
E01_P03_AF_VFL_GM,Dr Mamun Mahmud,0,1,0,0.9,0,0.5,1,3.4,48.57142857,60.47619048,60.48
,Dr Abid Hasan Khan,1,1,0,0.9,0,1,0.5,4.4,62.85714286,,
,Dr Rayhan Islam,1,1,0,0.9,0,1,1,4.9,70,,
E01_P03_AL_VFL_GM,Dr Mamun Mahmud,0,1,0,0.8,0,0.5,1,3.3,47.14285714,59.04761905,59.05
,Dr Abid Hasan Khan,1,1,0,0.8,0,1,0.5,4.3,61.42857143,,
,Dr Rayhan Islam,1,1,0,0.8,0,1,1,4.8,68.57142857,,
E01_P03_AR_VFL_GM,Dr Mamun Mahmud,0,1,0,0.8,0,0.5,1,3.3,47.14285714,59.04761905,59.05
,Dr Abid Hasan Khan,1,1,0,0.8,0,1,0.5,4.3,61.42857143,,
,Dr Rayhan Islam,1,1,0,0.8,0,1,1,4.8,68.57142857,,
E01_P03_AF_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,83.33333333,83.33
,Dr Abid Hasan Khan,1,1,1,1,0,0.5,1,5.5,78.57142857,,
,Dr Rayhan Islam,1,1,1,1,0,0.5,1,5.5,78.57142857,,
E01_P03_AL_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,67.61904762,67.62
,Dr Abid Hasan Khan,1,1,0,0.9,0,0.5,1,4.4,62.85714286,,
,Dr Rayhan Islam,1,1,0,0.9,0,0.5,1,4.4,62.85714286,,
E01_P03_AR_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,83.33333333,83.33
,Dr Abid Hasan Khan,1,1,1,1,0,0.5,1,5.5,78.57142857,,
,Dr Rayhan Islam,1,1,1,1,0,0.5,1,5.5,78.57142857,,
E01_P03_AF_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.5,0.5,1,1,5,71.42857143,64.28571429,64.29
,Dr Abid Hasan Khan,1,1,0,0.5,0.5,1,1,5,71.42857143,,
,Dr Rayhan Islam,1,1,0,0.5,0,0,1,3.5,50,,
E01_P03_AL_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.3,0.5,1,1,4.8,68.57142857,61.42857143,61.43
,Dr Abid Hasan Khan,1,1,0,0.3,0.5,1,1,4.8,68.57142857,,
,Dr Rayhan Islam,1,1,0,0.3,0,0,1,3.3,47.14285714,,
E01_P03_AR_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,70,70
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0,0,1,3.9,55.71428571,,
E01_P03_AF_VLL_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,83.33333333,83.33
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0,0,1,5,71.42857143,,
E01_P03_AL_VLL_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,83.33333333,83.33
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0,0,1,5,71.42857143,,
E01_P03_AR_VLL_GM,Dr Mamun Mahmud,1,1,0,0.5,0.5,1,1,5,71.42857143,61.9047619,61.9
,Dr Abid Hasan Khan,1,1,0,0.5,0.5,0.5,1,4.5,64.28571429,,
,Dr Rayhan Islam,1,1,0,0.5,0,0,1,3.5,50,,
E01_P03_AF_VML_GM,Dr Mamun Mahmud,1,1,0,0.5,0.5,1,1,5,71.42857143,64.28571429,64.29
,Dr Abid Hasan Khan,1,1,0,0.5,0,0.5,1,4,57.14285714,,
,Dr Rayhan Islam,1,1,0,0.5,0.5,0.5,1,4.5,64.28571429,,
E01_P03_AL_VML_GM,Dr Mamun Mahmud,1,1,0,0.5,0.5,1,1,5,71.42857143,64.28571429,64.29
,Dr Abid Hasan Khan,1,1,0,0.5,0,0.5,1,4,57.14285714,,
,Dr Rayhan Islam,1,1,0,0.5,0.5,0.5,1,4.5,64.28571429,,
E01_P03_AR_VML_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,70,70
,Dr Abid Hasan Khan,1,1,0,0.9,0,0.5,1,4.4,62.85714286,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,0.5,1,4.9,70,,
E01_P03_AF_VO_GM,Dr Mamun Mahmud,1,1,0,0.6,0,1,1,4.6,65.71428571,63.33333333,63.33
,Dr Abid Hasan Khan,1,1,0,0.6,0.5,1,1,5.1,72.85714286,,
,Dr Rayhan Islam,1,1,0,0.6,0,0,1,3.6,51.42857143,,
E01_P03_AL_VO_GM,Dr Mamun Mahmud,1,1,0,0.6,0,1,1,4.6,65.71428571,63.33333333,63.33
,Dr Abid Hasan Khan,1,1,0,0.6,0.5,1,1,5.1,72.85714286,,
,Dr Rayhan Islam,1,1,0,0.6,0,0,1,3.6,51.42857143,,
E01_P03_AR_VO_GM,Dr Mamun Mahmud,1,1,0,0.9,0,1,1,4.9,70,67.61904762,67.62
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0,0,1,3.9,55.71428571,,
E01_P04_AF_VFL_GM,Dr Mamun Mahmud,1,1,0,0.8,1,1,1,5.8,82.85714286,82.85714286,82.86
,Dr Abid Hasan Khan,1,1,0,0.8,1,1,1,5.8,82.85714286,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P04_AL_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AR_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AF_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,100,100
,Dr Abid Hasan Khan,1,1,1,1,1,1,1,7,100,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P04_AL_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AR_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,100,100
,Dr Abid Hasan Khan,1,1,1,1,1,1,1,7,100,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P04_AF_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,79.52380952,79.52
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,0.5,4.9,70,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AL_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.8,1,1,1,5.8,82.85714286,78.0952381,78.1
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,0.5,4.8,68.57142857,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P04_AR_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.8,1,1,1,5.8,82.85714286,78.0952381,78.1
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,0.5,4.8,68.57142857,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P04_AF_VLL_GM,Dr Mamun Mahmud,1,1,0,0.5,0.5,1,1,5,71.42857143,76.19047619,76.19
,Dr Abid Hasan Khan,1,1,0,0.5,1,1,1,5.5,78.57142857,,
,Dr Rayhan Islam,1,1,0,0.5,1,1,1,5.5,78.57142857,,
E01_P04_AL_VLL_GM,Dr Mamun Mahmud,1,1,0,0.8,0.5,1,1,5.3,75.71428571,80.47619048,80.48
,Dr Abid Hasan Khan,1,1,0,0.8,1,1,1,5.8,82.85714286,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P04_AR_VLL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,81.9047619,81.9
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AF_VML_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AL_VML_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AR_VML_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AF_VO_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,100,100
,Dr Abid Hasan Khan,1,1,1,1,1,1,1,7,100,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P04_AL_VO_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,84.28571429,84.29
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P04_AR_VO_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,100,100
,Dr Abid Hasan Khan,1,1,1,1,1,1,1,7,100,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P05_AF_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,79.52380952,79.52
,Dr Abid Hasan Khan,1,1,0,0.9,1,0.5,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P05_AL_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,79.52380952,79.52
,Dr Abid Hasan Khan,1,1,0,0.9,1,0.5,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P05_AR_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,79.52380952,79.52
,Dr Abid Hasan Khan,1,1,0,0.9,1,0.5,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P05_AF_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,0.5,0.5,1,6,85.71428571,92.85714286,92.86
,Dr Abid Hasan Khan,1,1,1,1,1,0.5,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P05_AL_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,0.5,0.5,1,6,85.71428571,92.85714286,92.86
,Dr Abid Hasan Khan,1,1,1,1,1,0.5,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P05_AR_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,0.5,0.5,1,6,85.71428571,92.85714286,92.86
,Dr Abid Hasan Khan,1,1,1,1,1,0.5,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P05_AF_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,81.9047619,81.9
,Dr Abid Hasan Khan,1,1,0,0.9,1,0.5,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P05_AL_VLJ_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,97.61904762,97.62
,Dr Abid Hasan Khan,1,1,1,1,1,0.5,1,6.5,92.85714286,,
,Dr Rayhan Islam,1,1,1,1,1,1,1,7,100,,
E01_P05_AR_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,81.9047619,81.9
,Dr Abid Hasan Khan,1,1,0,0.9,1,0.5,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P05_AF_VLL_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P05_AL_VLL_GM,Dr Mamun Mahmud,1,1,1,1,1,1,1,7,100,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P05_AR_VLL_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,1,5.9,84.28571429,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,0.5,1,4.9,70,,
,Dr Rayhan Islam,1,1,0,0.9,0,1,1,4.9,70,,
E01_P05_AF_VML_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0.5,1,1,6.5,92.85714286,,
E01_P05_AL_VML_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0.5,1,1,6.5,92.85714286,,
E01_P05_AR_VML_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0.5,1,1,6.5,92.85714286,,
E01_P05_AF_VO_GM,Dr Mamun Mahmud,1,1,1,1,0,1,1,6,85.71428571,85.71428571,85.71
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P05_AL_VO_GM,Dr Mamun Mahmud,1,1,1,1,0,1,1,6,85.71428571,85.71428571,85.71
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P05_AR_VO_GM,Dr Mamun Mahmud,1,1,1,1,0,1,1,6,85.71428571,85.71428571,85.71
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0,1,1,6,85.71428571,,
E01_P06_AF_VFL_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0.5,1,1,6.5,92.85714286,,
E01_P06_AL_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,0.5,1,4.9,70,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
E01_P06_AR_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,74.76190476,74.76
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,0.5,1,4.9,70,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
E01_P06_AF_VHJ_GM,Dr Mamun Mahmud,1,1,1,1,0.5,1,1,6.5,92.85714286,90.47619048,90.48
,Dr Abid Hasan Khan,1,1,1,1,0.5,0.5,1,6,85.71428571,,
,Dr Rayhan Islam,1,1,1,1,0.5,1,1,6.5,92.85714286,,
E01_P06_AL_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,74.76190476,74.76
